,City,Languages,# of Speakers
0,"Akron, OH",Arabic,3063.0
1,"Akron, OH",Armenian,47.0
2,"Akron, OH",Burmese,55.0
3,"Akron, OH",French,1415.0
4,"Akron, OH",Karen,355.0
5,"Akron, OH",Nepali,800.0
6,"Akron, OH",Persian,212.0
7,"Akron, OH",Spanish,8060.0
8,"Akron, OH",Urdu,79.0
9,"Anchorage, AK",Arabic,343.0
10,"Anchorage, AK",Burmese,
11,"Anchorage, AK",French,1195.0
12,"Anchorage, AK",Nepali,300.0
13,"Anchorage, AK",Persian,68.0
14,"Anchorage, AK",Spanish,14040.0
15,"Anchorage, AK",Urdu,272.0
16,"Ann Arbor, MI",Arabic,3805.0
17,"Ann Arbor, MI",Armenian,73.0
18,"Ann Arbor, MI",French,1610.0
19,"Ann Arbor, MI",Nepali,15.0
20,"Ann Arbor, MI",Persian,371.0
21,"Ann Arbor, MI",Spanish,8825.0
22,"Ann Arbor, MI",Urdu,682.0
23,"Atlanta-Sandy Springs-Roswell, ",Arabic,12257.0
24,"Atlanta-Sandy Springs-Roswell, ",Armenian,307.0
25,"Atlanta-Sandy Springs-Roswell, ",Burmese,1390.0
26,"Atlanta-Sandy Springs-Roswell, ",French,28515.0
27,"Atlanta-Sandy Springs-Roswell, ",Karen,1005.0
28,"Atlanta-Sandy Springs-Roswell, ",Nepali,3070.0
29,"Atlanta-Sandy Springs-Roswell, ",Persian,8155.0
30,"Atlanta-Sandy Springs-Roswell, ",Spanish,461235.0
31,"Atlanta-Sandy Springs-Roswell, ",Urdu,8209.0
32,"Austin-Round Rock, TX",Arabic,3885.0
33,"Austin-Round Rock, TX",Armenian,46.0
34,"Austin-Round Rock, TX",Burmese,350.0
35,"Austin-Round Rock, TX",French,6175.0
36,"Austin-Round Rock, TX",Karen,50.0
37,"Austin-Round Rock, TX",Nepali,535.0
38,"Austin-Round Rock, TX",Persian,1947.0
39,"Austin-Round Rock, TX",Spanish,358345.0
40,"Austin-Round Rock, TX",Urdu,3763.0
41,"Baltimore-Columbia-Towson, MD",Arabic,6076.0
42,"Baltimore-Columbia-Towson, MD",Armenian,236.0
43,"Baltimore-Columbia-Towson, MD",Burmese,900.0
44,"Baltimore-Columbia-Towson, MD",French,15035.0
45,"Baltimore-Columbia-Towson, MD",Nepali,1770.0
46,"Baltimore-Columbia-Towson, MD",Persian,3613.0
47,"Baltimore-Columbia-Towson, MD",Spanish,99885.0
48,"Baltimore-Columbia-Towson, MD",Urdu,9140.0
49,"Boston-Cambridge-Newton, MA-NH",Arabic,24461.0
50,"Boston-Cambridge-Newton, MA-NH",Armenian,7503.0
51,"Boston-Cambridge-Newton, MA-NH",Burmese,710.0
52,"Boston-Cambridge-Newton, MA-NH",French,44845.0
53,"Boston-Cambridge-Newton, MA-NH",Nepali,3420.0
54,"Boston-Cambridge-Newton, MA-NH",Persian,4723.0
55,"Boston-Cambridge-Newton, MA-NH",Spanish,343600.0
56,"Boston-Cambridge-Newton, MA-NH",Urdu,4184.0
57,"Charlotte-Concord-Gastonia, NC-",Arabic,3142.0
58,"Charlotte-Concord-Gastonia, NC-",Armenian,111.0
59,"Charlotte-Concord-Gastonia, NC-",Burmese,400.0
60,"Charlotte-Concord-Gastonia, NC-",French,7380.0
61,"Charlotte-Concord-Gastonia, NC-",Karen,
62,"Charlotte-Concord-Gastonia, NC-",Nepali,720.0
63,"Charlotte-Concord-Gastonia, NC-",Persian,871.0
64,"Charlotte-Concord-Gastonia, NC-",Spanish,169540.0
65,"Charlotte-Concord-Gastonia, NC-",Urdu,865.0
66,"Chicago-Naperville-Elgin, IL-IN",Arabic,53715.0
67,"Chicago-Naperville-Elgin, IL-IN",Armenian,2782.0
68,"Chicago-Naperville-Elgin, IL-IN",Burmese,1700.0
69,"Chicago-Naperville-Elgin, IL-IN",French,28590.0
70,"Chicago-Naperville-Elgin, IL-IN",Karen,675.0
71,"Chicago-Naperville-Elgin, IL-IN",Nepali,2625.0
72,"Chicago-Naperville-Elgin, IL-IN",Persian,5760.0
73,"Chicago-Naperville-Elgin, IL-IN",Spanish,1507700.0
74,"Chicago-Naperville-Elgin, IL-IN",Urdu,41234.0
75,"Columbus, OH",Arabic,7758.0
76,"Columbus, OH",Armenian,117.0
77,"Columbus, OH",Burmese,200.0
78,"Columbus, OH",French,7355.0
79,"Columbus, OH",Nepali,335.0
80,"Columbus, OH",Persian,952.0
81,"Columbus, OH",Spanish,50520.0
82,"Columbus, OH",Urdu,1139.0
83,"Dallas-Fort Worth-Arlington, TX",Arabic,20038.0
84,"Dallas-Fort Worth-Arlington, TX",Armenian,769.0
85,"Dallas-Fort Worth-Arlington, TX",Burmese,1155.0
86,"Dallas-Fort Worth-Arlington, TX",French,18180.0
87,"Dallas-Fort Worth-Arlington, TX",Karen,775.0
88,"Dallas-Fort Worth-Arlington, TX",Nepali,6155.0
89,"Dallas-Fort Worth-Arlington, TX",Persian,11468.0
90,"Dallas-Fort Worth-Arlington, TX",Spanish,1371605.0
91,"Dallas-Fort Worth-Arlington, TX",Urdu,16993.0
92,"Dayton, OH",Arabic,2366.0
93,"Dayton, OH",Burmese,60.0
94,"Dayton, OH",French,2475.0
95,"Dayton, OH",Nepali,30.0
96,"Dayton, OH",Persian,224.0
97,"Dayton, OH",Spanish,13060.0
98,"Dayton, OH",Urdu,489.0
99,Deltona-Daytona Beach-Ormond Be,Arabic,841.0
100,Deltona-Daytona Beach-Ormond Be,Burmese,45.0
101,Deltona-Daytona Beach-Ormond Be,French,2450.0
102,Deltona-Daytona Beach-Ormond Be,Nepali,
103,Deltona-Daytona Beach-Ormond Be,Persian,125.0
104,Deltona-Daytona Beach-Ormond Be,Spanish,47780.0
105,Deltona-Daytona Beach-Ormond Be,Urdu,166.0
106,"Denver-Aurora-Lakewood, CO",Arabic,7148.0
107,"Denver-Aurora-Lakewood, CO",Armenian,388.0
108,"Denver-Aurora-Lakewood, CO",Burmese,620.0
109,"Denver-Aurora-Lakewood, CO",French,8900.0
110,"Denver-Aurora-Lakewood, CO",Karen,610.0
111,"Denver-Aurora-Lakewood, CO",Nepali,2390.0
112,"Denver-Aurora-Lakewood, CO",Persian,3223.0
113,"Denver-Aurora-Lakewood, CO",Spanish,323775.0
114,"Denver-Aurora-Lakewood, CO",Urdu,1437.0
115,"Detroit-Warren-Dearborn, MI",Arabic,97641.0
116,"Detroit-Warren-Dearborn, MI",Armenian,1999.0
117,"Detroit-Warren-Dearborn, MI",Burmese,60.0
118,"Detroit-Warren-Dearborn, MI",French,12905.0
119,"Detroit-Warren-Dearborn, MI",Nepali,445.0
120,"Detroit-Warren-Dearborn, MI",Persian,1401.0
121,"Detroit-Warren-Dearborn, MI",Spanish,111650.0
122,"Detroit-Warren-Dearborn, MI",Urdu,8662.0
123,"Greensboro-High Point, NC",Arabic,1879.0
124,"Greensboro-High Point, NC",Armenian,22.0
125,"Greensboro-High Point, NC",French,2585.0
126,"Greensboro-High Point, NC",Karen,855.0
127,"Greensboro-High Point, NC",Nepali,460.0
128,"Greensboro-High Point, NC",Persian,344.0
129,"Greensboro-High Point, NC",Spanish,44800.0
130,"Greensboro-High Point, NC",Urdu,1371.0
131,"Harrisburg-Carlisle, PA",Arabic,1978.0
132,"Harrisburg-Carlisle, PA",Armenian,20.0
133,"Harrisburg-Carlisle, PA",Burmese,25.0
134,"Harrisburg-Carlisle, PA",French,1455.0
135,"Harrisburg-Carlisle, PA",Nepali,600.0
136,"Harrisburg-Carlisle, PA",Persian,142.0
137,"Harrisburg-Carlisle, PA",Spanish,16420.0
138,"Harrisburg-Carlisle, PA",Urdu,255.0
139,Houston-The Woodlands-Sugar Lan,Arabic,22074.0
140,Houston-The Woodlands-Sugar Lan,Armenian,405.0
141,Houston-The Woodlands-Sugar Lan,Burmese,1230.0
142,Houston-The Woodlands-Sugar Lan,French,21095.0
143,Houston-The Woodlands-Sugar Lan,Karen,1005.0
144,Houston-The Woodlands-Sugar Lan,Nepali,3305.0
145,Houston-The Woodlands-Sugar Lan,Persian,9327.0
146,Houston-The Woodlands-Sugar Lan,Spanish,1617320.0
147,Houston-The Woodlands-Sugar Lan,Urdu,31069.0
148,"Lansing-East Lansing, MI",Arabic,2234.0
149,"Lansing-East Lansing, MI",Armenian,10.0
150,"Lansing-East Lansing, MI",Burmese,230.0
151,"Lansing-East Lansing, MI",French,1370.0
152,"Lansing-East Lansing, MI",Karen,135.0
153,"Lansing-East Lansing, MI",Nepali,945.0
154,"Lansing-East Lansing, MI",Persian,254.0
155,"Lansing-East Lansing, MI",Spanish,14415.0
156,"Lansing-East Lansing, MI",Urdu,620.0
157,"Los Angeles-Long Beach-Anaheim,",Arabic,61732.0
158,"Los Angeles-Long Beach-Anaheim,",Armenian,172108.0
159,"Los Angeles-Long Beach-Anaheim,",Burmese,6225.0
160,"Los Angeles-Long Beach-Anaheim,",French,46710.0
161,"Los Angeles-Long Beach-Anaheim,",Karen,50.0
162,"Los Angeles-Long Beach-Anaheim,",Nepali,2005.0
163,"Los Angeles-Long Beach-Anaheim,",Persian,103748.0
164,"Los Angeles-Long Beach-Anaheim,",Spanish,4411570.0
165,"Los Angeles-Long Beach-Anaheim,",Urdu,14781.0
166,"Louisville Jefferson County, KY",Arabic,3167.0
167,"Louisville Jefferson County, KY",Burmese,290.0
168,"Louisville Jefferson County, KY",French,3200.0
169,"Louisville Jefferson County, KY",Karen,385.0
170,"Louisville Jefferson County, KY",Nepali,850.0
171,"Louisville Jefferson County, KY",Persian,444.0
172,"Louisville Jefferson County, KY",Spanish,40310.0
173,"Louisville Jefferson County, KY",Urdu,596.0
174,"Manchester-Nashua, NH",Arabic,827.0
175,"Manchester-Nashua, NH",Armenian,57.0
176,"Manchester-Nashua, NH",Burmese,20.0
177,"Manchester-Nashua, NH",French,9465.0
178,"Manchester-Nashua, NH",Nepali,1145.0
179,"Manchester-Nashua, NH",Persian,113.0
180,"Manchester-Nashua, NH",Spanish,15865.0
181,"Manchester-Nashua, NH",Urdu,404.0
182,Minneapolis-St. Paul-Bloomingto,Arabic,7924.0
183,Minneapolis-St. Paul-Bloomingto,Armenian,28.0
184,Minneapolis-St. Paul-Bloomingto,Burmese,900.0
185,Minneapolis-St. Paul-Bloomingto,French,11945.0
186,Minneapolis-St. Paul-Bloomingto,Karen,4390.0
187,Minneapolis-St. Paul-Bloomingto,Nepali,1370.0
188,Minneapolis-St. Paul-Bloomingto,Persian,1459.0
189,Minneapolis-St. Paul-Bloomingto,Spanish,138800.0
190,Minneapolis-St. Paul-Bloomingto,Urdu,2417.0
191,Nashville-Davidson--Murfreesbor,Arabic,9642.0
192,Nashville-Davidson--Murfreesbor,Armenian,160.0
193,Nashville-Davidson--Murfreesbor,Burmese,690.0
194,Nashville-Davidson--Murfreesbor,French,3290.0
195,Nashville-Davidson--Murfreesbor,Karen,165.0
196,Nashville-Davidson--Murfreesbor,Nepali,975.0
197,Nashville-Davidson--Murfreesbor,Persian,2201.0
198,Nashville-Davidson--Murfreesbor,Spanish,88405.0
199,Nashville-Davidson--Murfreesbor,Urdu,832.0
200,"New York-Newark-Jersey City, NY",Arabic,125210.0
201,"New York-Newark-Jersey City, NY",Armenian,10498.0
202,"New York-Newark-Jersey City, NY",Burmese,5365.0
203,"New York-Newark-Jersey City, NY",French,135540.0
204,"New York-Newark-Jersey City, NY",Karen,625.0
205,"New York-Newark-Jersey City, NY",Nepali,6605.0
206,"New York-Newark-Jersey City, NY",Persian,31740.0
207,"New York-Newark-Jersey City, NY",Spanish,3586005.0
208,"New York-Newark-Jersey City, NY",Urdu,88232.0
209,"Philadelphia-Camden-Wilmington,",Arabic,17360.0
210,"Philadelphia-Camden-Wilmington,",Armenian,1877.0
211,"Philadelphia-Camden-Wilmington,",Burmese,1055.0
212,"Philadelphia-Camden-Wilmington,",French,26115.0
213,"Philadelphia-Camden-Wilmington,",Nepali,1190.0
214,"Philadelphia-Camden-Wilmington,",Persian,3371.0
215,"Philadelphia-Camden-Wilmington,",Spanish,350520.0
216,"Philadelphia-Camden-Wilmington,",Urdu,9439.0
217,"Pittsburgh, PA",Arabic,3353.0
218,"Pittsburgh, PA",Armenian,90.0
219,"Pittsburgh, PA",Burmese,150.0
220,"Pittsburgh, PA",French,6215.0
221,"Pittsburgh, PA",Karen,690.0
222,"Pittsburgh, PA",Nepali,1485.0
223,"Pittsburgh, PA",Persian,782.0
224,"Pittsburgh, PA",Spanish,25650.0
225,"Pittsburgh, PA",Urdu,912.0
226,"Portland-South Portland, ME",Arabic,803.0
227,"Portland-South Portland, ME",Armenian,15.0
228,"Portland-South Portland, ME",Burmese,25.0
229,"Portland-South Portland, ME",French,13870.0
230,"Portland-South Portland, ME",Persian,562.0
231,"Portland-South Portland, ME",Spanish,5350.0
232,"Portland-South Portland, ME",Urdu,175.0
233,"Portland-Vancouver-Hillsboro, O",Arabic,5498.0
234,"Portland-Vancouver-Hillsboro, O",Armenian,379.0
235,"Portland-Vancouver-Hillsboro, O",Burmese,870.0
236,"Portland-Vancouver-Hillsboro, O",French,7380.0
237,"Portland-Vancouver-Hillsboro, O",Karen,155.0
238,"Portland-Vancouver-Hillsboro, O",Nepali,1100.0
239,"Portland-Vancouver-Hillsboro, O",Persian,3054.0
240,"Portland-Vancouver-Hillsboro, O",Spanish,171665.0
241,"Portland-Vancouver-Hillsboro, O",Urdu,712.0
242,"Richmond, VA",Arabic,4406.0
243,"Richmond, VA",Armenian,55.0
244,"Richmond, VA",Burmese,195.0
245,"Richmond, VA",French,3485.0
246,"Richmond, VA",Karen,150.0
247,"Richmond, VA",Nepali,495.0
248,"Richmond, VA",Persian,740.0
249,"Richmond, VA",Spanish,49745.0
250,"Richmond, VA",Urdu,1477.0
251,"Salt Lake City, UT",Arabic,1706.0
252,"Salt Lake City, UT",Armenian,459.0
253,"Salt Lake City, UT",Burmese,515.0
254,"Salt Lake City, UT",French,2690.0
255,"Salt Lake City, UT",Karen,330.0
256,"Salt Lake City, UT",Nepali,1815.0
257,"Salt Lake City, UT",Persian,1050.0
258,"Salt Lake City, UT",Spanish,126010.0
259,"Salt Lake City, UT",Urdu,473.0
260,"San Diego-Carlsbad, CA",Arabic,19624.0
261,"San Diego-Carlsbad, CA",Armenian,2563.0
262,"San Diego-Carlsbad, CA",Burmese,470.0
263,"San Diego-Carlsbad, CA",French,9135.0
264,"San Diego-Carlsbad, CA",Karen,455.0
265,"San Diego-Carlsbad, CA",Nepali,65.0
266,"San Diego-Carlsbad, CA",Persian,14034.0
267,"San Diego-Carlsbad, CA",Spanish,725295.0
268,"San Diego-Carlsbad, CA",Urdu,2196.0
269,"San Francisco-Oakland-Hayward, ",Arabic,21983.0
270,"San Francisco-Oakland-Hayward, ",Armenian,3709.0
271,"San Francisco-Oakland-Hayward, ",Burmese,7175.0
272,"San Francisco-Oakland-Hayward, ",French,26835.0
273,"San Francisco-Oakland-Hayward, ",Karen,110.0
274,"San Francisco-Oakland-Hayward, ",Nepali,2590.0
275,"San Francisco-Oakland-Hayward, ",Persian,28645.0
276,"San Francisco-Oakland-Hayward, ",Spanish,677465.0
277,"San Francisco-Oakland-Hayward, ",Urdu,7941.0
278,"San Jose-Sunnyvale-Santa Clara,",Arabic,5336.0
279,"San Jose-Sunnyvale-Santa Clara,",Armenian,1307.0
280,"San Jose-Sunnyvale-Santa Clara,",Burmese,600.0
281,"San Jose-Sunnyvale-Santa Clara,",French,9105.0
282,"San Jose-Sunnyvale-Santa Clara,",Karen,210.0
283,"San Jose-Sunnyvale-Santa Clara,",Nepali,640.0
284,"San Jose-Sunnyvale-Santa Clara,",Persian,14462.0
285,"San Jose-Sunnyvale-Santa Clara,",Spanish,339165.0
286,"San Jose-Sunnyvale-Santa Clara,",Urdu,5687.0
287,"Seattle-Tacoma-Bellevue, WA",Arabic,9263.0
288,"Seattle-Tacoma-Bellevue, WA",Armenian,1040.0
289,"Seattle-Tacoma-Bellevue, WA",Burmese,820.0
290,"Seattle-Tacoma-Bellevue, WA",French,15990.0
291,"Seattle-Tacoma-Bellevue, WA",Karen,35.0
292,"Seattle-Tacoma-Bellevue, WA",Nepali,1995.0
293,"Seattle-Tacoma-Bellevue, WA",Persian,7155.0
294,"Seattle-Tacoma-Bellevue, WA",Spanish,207590.0
295,"Seattle-Tacoma-Bellevue, WA",Urdu,3055.0
296,"Tulsa, OK",Arabic,1402.0
297,"Tulsa, OK",Burmese,875.0
298,"Tulsa, OK",French,1425.0
299,"Tulsa, OK",Karen,90.0
300,"Tulsa, OK",Persian,500.0
301,"Tulsa, OK",Spanish,55620.0
302,"Tulsa, OK",Urdu,610.0
303,Washington-Arlington-Alexandria,Arabic,38910.0
304,Washington-Arlington-Alexandria,Armenian,2614.0
305,Washington-Arlington-Alexandria,Burmese,2090.0
306,Washington-Arlington-Alexandria,French,58045.0
307,Washington-Arlington-Alexandria,Karen,
308,Washington-Arlington-Alexandria,Nepali,7155.0
309,Washington-Arlington-Alexandria,Persian,32302.0
310,Washington-Arlington-Alexandria,Spanish,633140.0
311,Washington-Arlington-Alexandria,Urdu,28511.0
